"variation","first_mrr"
"variation #1",29
"variation #1",17.16375
"original",25
"original",30
"variation #1",98
"original",299.4
"original",59
"original",15
"original",30
"variation #1",15
"original",39.8199
"original",15
"variation #1",59
"original",15
"variation #1",98
"variation #1",39.9
"variation #1",23
"original",12.5
"variation #1",157
"original",29
"original",54.612
"original",58
"original",15
"variation #1",116
"original",15.17
"variation #1",236
"original",57.4
"variation #1",59
"original",531
"original",79.6398
"original",35.1944
"original",51.33
"original",15
"original",70.3888
"variation #1",15
"original",87
"variation #1",81.0129
"original",20.5965
"original",60.43728
"original",49.8
"original",29.7
"original",58
"original",15
"original",29
"original",41.193
"variation #1",15
"variation #1",41.193
"original",24.9
"variation #1",71.6024
"original",70.3888
"original",24.9
"variation #1",30
"variation #1",29
"variation #1",118
"variation #1",29
"variation #1",143.2048
"variation #1",59
"variation #1",30
"variation #1",15
"original",29
"original",81.0129
"variation #1",324.0516
"variation #1",59
"original",12.5
"variation #1",15
"variation #1",162.0258
"original",30.21864
"original",29
"original",15
"original",39.8199
"original",105.5832
"variation #1",23
"variation #1",29
"variation #1",59
"original",58
"original",35.1944
"variation #1",29
"variation #1",15
"original",290
"variation #1",59
"variation #1",35.1944
"original",59
"variation #1",59
"original",59
"original",25
"original",59
"original",358.15
"original",132
"original",15
"original",29
"variation #1",118
"variation #1",18.204
"variation #1",18.204
"variation #1",15
"original",124.5
"original",15
"original",147
"variation #1",20.5965
"original",29
"original",30.21864
"variation #1",278.7393
"original",24.9
"original",35.1944
"variation #1",30
"variation #1",15
"original",59
"variation #1",29
"variation #1",98
"original",87
"variation #1",29
"original",109.224
"original",177
"original",93.3708
"original",12
"original",87
"variation #1",15
"original",15
"variation #1",30
"variation #1",29
"original",452
"variation #1",157
"variation #1",120.87456
"variation #1",98
"variation #1",15
"original",118
"original",286.4096
"variation #1",18.204
"original",45
"variation #1",46
"variation #1",199.6
"original",36.408
"original",29
"variation #1",60
"variation #1",413
"original",59
"original",354
"variation #1",105.5832
"original",29
"original",59
"variation #1",58
"original",98
"original",39.8199
"variation #1",143.2048
"original",59
"original",159.2796
"variation #1",20.5965
"variation #1",12
"original",15
"original",29
"variation #1",531
"original",58
"original",15
"original",15
"original",102.9825
"original",37.5
"variation #1",20.5965
"original",29
"original",30
"original",29
"variation #1",107.2
"original",29
"variation #1",51.33
"original",39.8199
"variation #1",133.1907
"variation #1",45
"original",143.2048
"variation #1",18.204
"original",12.5
"variation #1",15
"variation #1",15
"original",24.9
"variation #1",75
"variation #1",29
"original",15
"original",29
"original",59
"variation #1",29
"original",59
"original",29
"variation #1",20.5965
"original",98
"original",24.9
"original",29
"variation #1",29
"original",59
"variation #1",155
"variation #1",243.0387
"variation #1",15
"variation #1",29
"original",15
"original",29
"variation #1",18.204
"original",59
"variation #1",105.5832
"original",41.193
"original",35.1944
"variation #1",45
"original",140.7776
"original",79.6398
"original",18.204
"variation #1",20.5965
"variation #1",98
"variation #1",12.5
"variation #1",24.9
"original",540
"variation #1",59
"original",40.89
"variation #1",116
"original",15
"variation #1",15
"variation #1",17.16375
"original",29
"original",60
"original",20.5965
"original",59
"variation #1",116
"original",12
"variation #1",39.8199
"variation #1",18.204
"original",29
"original",58
"variation #1",15
"original",35.1944
"original",59
"original",91.02
"original",214.8072
"variation #1",15
"original",58
"original",59
"original",36
"variation #1",59
"variation #1",18.204
"variation #1",29
"variation #1",12.5
"variation #1",58
"variation #1",59
"original",35.1944
"original",58
"variation #1",41.193
"original",59
"original",157
"original",59
"variation #1",15
"original",15
"original",15
"variation #1",2340.6
"variation #1",115.3404
"variation #1",29
"variation #1",15
"original",20.5965
"variation #1",59
"variation #1",59
"variation #1",15
"original",23
"variation #1",70.3888
"original",15
"variation #1",20.5965
"original",20.5965
"original",58
"original",59
"variation #1",12.5
"variation #1",36.408
"variation #1",173.0106
"variation #1",29
"variation #1",97
"original",59
"variation #1",162.0258
"original",29
"variation #1",54
"original",45
"original",59
"original",35.1944
"variation #1",295
"variation #1",145.632
"original",29
"original",41.193
"variation #1",15
"variation #1",59
"variation #1",15
"original",30.21864
"variation #1",214.8072
"variation #1",35.1944
"variation #1",15
"original",35.1944
"original",35.1944
"original",12.5
"variation #1",15
"variation #1",59
"variation #1",35.1944
"original",12.5
"variation #1",59
"variation #1",87
"variation #1",102.9825
"variation #1",18.204
"variation #1",24.9
"original",29
"original",18.204
"original",58
"variation #1",24.9
"variation #1",15
"variation #1",68
"variation #1",118
"variation #1",59
"original",162.0258
"variation #1",49.9
"original",149.7
"original",15
"variation #1",18.204
"original",20.5965
"variation #1",74.7
"variation #1",236
"original",29
"variation #1",47
"variation #1",35.1944
"variation #1",23
"original",15
"variation #1",14.5632
"variation #1",71.6024
"variation #1",120.87456
"variation #1",15
"original",236
"original",71.6024
"variation #1",162.0258
"original",59
"original",15
"variation #1",30
"original",15
"original",243.0387
"variation #1",29
"variation #1",15.17
"original",29
"variation #1",15
"variation #1",15
"variation #1",20.5965
"variation #1",59
"original",59
"variation #1",24
"variation #1",59
"original",29
"original",59
"variation #1",18.204
"variation #1",826
"variation #1",29
"variation #1",17.16375
"variation #1",243.0387
"original",143.2048
"variation #1",15
"variation #1",15
"original",98
"variation #1",162.0258
"original",15
"variation #1",12.5
"original",64.5357
"original",58
"original",49.8
"variation #1",47
"variation #1",30
"original",29
"original",15
"variation #1",29
"original",174
"variation #1",118
"original",59
"variation #1",15
"original",15
"variation #1",140.7776
"variation #1",12.5
"variation #1",61.7895
"variation #1",59
"original",29
"original",49.9
"variation #1",15
"original",141
"variation #1",29
"original",173.3
"original",29
"variation #1",18.204
"variation #1",24.9
"original",59
"original",98
"original",405.0645
"original",12.5
"original",29
"variation #1",39.8199
"original",35.1944
"original",24
"variation #1",20.5965
"original",87
"original",39.8199
"original",29
"original",134.5638
"original",15
"variation #1",18.204
"original",12.5
"variation #1",15
"variation #1",162.0258
"original",18.204
"original",97
"original",15
"original",98
"variation #1",105
"original",58
"original",60
"original",116
"variation #1",15
"original",105.5832
"original",59
"original",30
"original",24.9
"original",58
"original",15
"original",59
"original",12.5
"variation #1",58
"variation #1",15
"original",29
"variation #1",59
"original",29
"original",15
"variation #1",59
"original",15
"original",12
"variation #1",29
"variation #1",15
"variation #1",59
"original",97
"variation #1",12
"original",59
"variation #1",51
"variation #1",30
"variation #1",68
"original",60
"original",210
"variation #1",15
"variation #1",15
"original",15
"original",162.0258
"original",29
"variation #1",23
"variation #1",29
"original",15
"variation #1",29
"variation #1",29
"variation #1",50.46
"variation #1",29
"variation #1",49.9
"original",82.5248
"variation #1",232.1
"variation #1",87
"original",68.51769
"original",24.9
"original",59
"original",59
"variation #1",29
"original",30
"variation #1",36.408
"variation #1",59
"original",235
"original",15
"variation #1",45
"variation #1",29
"variation #1",71.6024
"original",29
"variation #1",59
"original",15
"original",12
"variation #1",63.71184
"variation #1",15
"variation #1",232
"original",468.35
"variation #1",177
"original",58
"original",81.2
"variation #1",59
"original",118.9328
"variation #1",15
"original",152.9136
"variation #1",188
"original",29
"variation #1",36.408
"original",51.49125
"variation #1",24.9
"original",567.0903
"original",105.5832
"variation #1",59
"variation #1",15
"variation #1",59
"variation #1",15
"original",15
"original",15
"variation #1",20.5965
"variation #1",36.408
"variation #1",60
"variation #1",15
"original",20.5965
"original",59
"original",143.2048
"original",118
"variation #1",58
"original",236
"variation #1",29
"original",29
"original",98
"original",39.8199
"variation #1",15
"original",29
"original",59
"variation #1",18.204
"original",29
"original",35.1944
"variation #1",15
"original",15
"variation #1",58
"variation #1",29
"original",29
"variation #1",215.5767
"original",87
"original",49.9
"original",29
"original",20.5965
"original",58
"original",98
"variation #1",15
"variation #1",145
"original",15
"variation #1",70.3888
"original",20.5965
"original",15.17
"variation #1",9.9
"original",23.89194
"original",58
"variation #1",59
"variation #1",108
"original",29
"variation #1",29
"original",29
"original",29
"variation #1",12
"original",472
"original",12.5
"variation #1",15
"variation #1",20.5965
"variation #1",155
"variation #1",59
"original",59
"original",58
"variation #1",174
"original",189
"original",12.5
"variation #1",15
"original",45
"original",15
"original",118
"variation #1",21.75
"original",29
"variation #1",15
"original",15
"variation #1",30
"original",15
"original",29
"variation #1",15
"variation #1",30
"original",23
"variation #1",156.5544
"variation #1",59
