"variation","mrr","first_mrr"
"hpttgswhloptb","0.00000",59
"hpttgswhloptb","0.00000",29
"hpttgswhlopta","0.00000",29
"hpttgswhlopta","0.00000",59
"hpttgswhlopta","0.00000",59
"hpttgswhlopta",29,29
"hpttgswhloptb",58,59
"hpttgswhloptb",15.17,15.17
"hpttgswhloptb",15,15
"hpttgswhloptb",49.8,49.8
"hpttgswhlopta",29,29
"hpttgswhlopta",58,58
"hpttgswhlopta",29,29
"hpttgswhlopta",15,15
"hpttgswhloptb",35.1944,36.408
"hpttgswhloptb",30,15
"hpttgswhloptb",98,29
"hpttgswhlopta",383,236
"hpttgswhlopta",236,87
"hpttgswhloptb","0.00000",59
"hpttgswhlopta",18.204,18.204
"hpttgswhloptb",36.408,36.408
"hpttgswhloptb",60,45
"hpttgswhlopta",140.7776,140.7776
"hpttgswhlopta",12.5,12.5
"hpttgswhlopta",30.21864,30.21864
"hpttgswhloptb",174,58
"hpttgswhlopta","0.00000",18.204
"hpttgswhloptb",18.204,18.204
"hpttgswhloptb","0.00000",59
"hpttgswhloptb",203,145
"hpttgswhlopta",35.1944,35.1944
"hpttgswhloptb",59,59
"hpttgswhlopta",30.21864,30.21864
"hpttgswhloptb",85.81875,85.81875
"hpttgswhlopta",91.02,18.204
"hpttgswhloptb",145,145
"hpttgswhlopta","0.00000",39.8199
"hpttgswhlopta",175.972,211.1664
"hpttgswhloptb","0.00000",35.1944
"hpttgswhloptb",173.0106,119.4597
"hpttgswhloptb",105.5832,70.3888
"hpttgswhlopta",501.2168,214.8072
"hpttgswhloptb","0.00000",29
"hpttgswhloptb",118,177
"hpttgswhloptb",140.7776,250.6084
"hpttgswhloptb",79.6398,79.6398
"hpttgswhloptb","0.00000",334
"hpttgswhloptb",12.5,12.5
"hpttgswhlopta",539.6283,539.6283
"hpttgswhloptb",117.7192,117.7192
"hpttgswhloptb","0.00000",18.204
"hpttgswhlopta",175.972,36.408
"hpttgswhlopta",18.204,18.204
"hpttgswhlopta",119.4597,119.4597
"hpttgswhloptb",18.204,18.204
"hpttgswhlopta",105,105
"hpttgswhlopta",97,58
"hpttgswhlopta",58,29
"hpttgswhloptb",15,15
"hpttgswhloptb",236,236
"hpttgswhloptb","0.00000",15
"hpttgswhlopta",15,44.25
"hpttgswhlopta",295,295
"hpttgswhloptb",12.5,12.5
"hpttgswhloptb",15,15
"hpttgswhlopta","0.00000",59
"hpttgswhloptb",58,30
"hpttgswhloptb","0.00000",59
"hpttgswhloptb","0.00000",15
"hpttgswhlopta",247.5744,101.9424
"hpttgswhloptb",87,87
"hpttgswhloptb",15,15
"hpttgswhlopta",29,29
"hpttgswhlopta",348.6,37.5
"hpttgswhlopta","0.00000",18.204
"hpttgswhloptb",39.8199,20.5965
"hpttgswhlopta",15,15
"hpttgswhloptb",70.3888,36.408
"hpttgswhlopta",15,15
"hpttgswhlopta",58,58
"hpttgswhloptb",118,118
"hpttgswhloptb",18.204,18.204
"hpttgswhlopta",15,15
"hpttgswhloptb",35.1944,35.1944
"hpttgswhlopta",15,15
"hpttgswhloptb",15,15
"hpttgswhloptb",105.5832,35.1944
"hpttgswhlopta","0.00000",29
"hpttgswhlopta",79.6398,20.5965
"hpttgswhloptb",18.204,18.204
"hpttgswhloptb",35.1944,35.1944
"hpttgswhloptb","0.00000",29
"hpttgswhloptb","0.00000",15
"hpttgswhloptb",15,60
"hpttgswhlopta",97,59
"hpttgswhloptb",35.1944,71.6024
"hpttgswhloptb",81.0129,81.0129
"hpttgswhlopta",15,15
"hpttgswhloptb",12.5,12.5
"hpttgswhloptb","0.00000",236
"hpttgswhloptb","0.00000",68
"hpttgswhloptb",15,15
"hpttgswhloptb","0.00000",18.204
"hpttgswhloptb",15,15
"hpttgswhloptb",36.408,18.204
"hpttgswhloptb",12.5,12.5
"hpttgswhloptb",354,236
"hpttgswhloptb","0.00000",15
"hpttgswhloptb",29,29
"hpttgswhlopta",45,30
"hpttgswhlopta",105.5832,35.1944
"hpttgswhloptb","0.00000",15
"hpttgswhlopta",29,29
"hpttgswhlopta",281.5552,211.1664
"hpttgswhloptb",15,15
"hpttgswhloptb",145,87
"hpttgswhloptb",15,15
"hpttgswhlopta",60,15
"hpttgswhloptb",29,29
"hpttgswhloptb",149.4,99.6
"hpttgswhloptb",41.76,188
"hpttgswhloptb","0.00000",18.204
"hpttgswhlopta",177,116
"hpttgswhloptb",59,29.5
"hpttgswhloptb",29,15
"hpttgswhloptb",35.1944,35.1944
"hpttgswhloptb",246.3608,18.204
"hpttgswhloptb",29,29
"hpttgswhlopta","0.00000",71.6024
"hpttgswhloptb",1770,1272.45
"hpttgswhloptb",121.11728,60.55864
"hpttgswhloptb",118,177
"hpttgswhloptb",35.1944,35.1944
"hpttgswhlopta",30.34,30.34
"hpttgswhlopta","0.00000",30
"hpttgswhlopta",59,59
"hpttgswhlopta",29,29
"hpttgswhlopta",29,15
"hpttgswhlopta",45,60
"hpttgswhlopta","0.00000",29
"hpttgswhloptb",35.1944,35.1944
"hpttgswhloptb",644.4216,143.2048
"hpttgswhloptb",20.5965,20.5965
"hpttgswhloptb","0.00000",118
"hpttgswhloptb",35.1944,35.1944
"hpttgswhlopta",78.95325,17.16375
"hpttgswhlopta","0.00000",35.1944
"hpttgswhloptb",15,15
"hpttgswhlopta",105.5832,70.3888
"hpttgswhloptb","0.00000",15
"hpttgswhloptb",68,15
"hpttgswhloptb",24.9,24.9
"hpttgswhlopta",15,15
"hpttgswhloptb",59,59
"hpttgswhloptb",15,98
"hpttgswhloptb",118,59
"hpttgswhlopta",118,118
"hpttgswhloptb","0.00000",15
"hpttgswhlopta",181.67592,181.67592
"hpttgswhlopta",15,15
"hpttgswhloptb",105.5832,35.1944
"hpttgswhlopta","0.00000",81.0129
"hpttgswhlopta",15,15
"hpttgswhloptb",118,15
"hpttgswhlopta",18.204,18.204
"hpttgswhlopta",35.1944,35.1944
"hpttgswhloptb",15,15
"hpttgswhloptb",15,15
