"variation","key_company","company_mrr_fx_usd","paying_first_dt"
"24092020anzoptb",-9999,"0.00000","1000-01-01"
"24092020anzopta",-9999,"0.00000","1000-01-01"
"24092020anzoptb",-9999,"0.00000","1000-01-01"
"24092020anzoptb",-9999,"0.00000","1000-01-01"
"24092020anzopta",-9999,"0.00000","1000-01-01"
"24092020anzopta",-9999,"0.00000","1000-01-01"
"24092020anzoptb",-9999,"0.00000","1000-01-01"
"24092020anzopta",-9999,"0.00000","1000-01-01"
"24092020anzopta",-9999,"0.00000","1000-01-01"
"24092020anzopta",-9999,"0.00000","1000-01-01"
"24092020anzopta",-9999,"0.00000","1000-01-01"
"24092020anzopta",-9999,"0.00000","1000-01-01"
"24092020anzopta",-9999,"0.00000","1000-01-01"
"24092020anzopta",-9999,"0.00000","1000-01-01"
"24092020anzoptb",-9999,"0.00000","1000-01-01"
"24092020anzopta",-9999,"0.00000","1000-01-01"
"24092020anzopta",-9999,"0.00000","1000-01-01"
"24092020anzopta",-9999,"0.00000","1000-01-01"
"24092020anzopta",-9999,"0.00000","1000-01-01"
"24092020anzoptb",-9999,"0.00000","1000-01-01"
"24092020anzoptb",-9999,"0.00000","1000-01-01"
"24092020anzopta",-9999,"0.00000","1000-01-01"
"24092020anzopta",-9999,"0.00000","1000-01-01"
"24092020anzoptb",-9999,"0.00000","1000-01-01"
"24092020anzoptb",-9999,"0.00000","1000-01-01"
"24092020anzoptb",-9999,"0.00000","1000-01-01"
"24092020anzopta",-9999,"0.00000","1000-01-01"
"24092020anzopta",-9999,"0.00000","1000-01-01"
"24092020anzopta",-9999,"0.00000","1000-01-01"
"24092020anzopta",-9999,"0.00000","1000-01-01"
"24092020anzopta",-9999,"0.00000","1000-01-01"
"24092020anzopta",-9999,"0.00000","1000-01-01"
"24092020anzoptb",-9999,"0.00000","1000-01-01"
"24092020anzoptb",-9999,"0.00000","1000-01-01"
"24092020anzoptb",-9999,"0.00000","1000-01-01"
"24092020anzoptb",-9999,"0.00000","1000-01-01"
"24092020anzopta",-9999,"0.00000","1000-01-01"
"24092020anzoptb",-9999,"0.00000","1000-01-01"
"24092020anzoptb",-9999,"0.00000","1000-01-01"
"24092020anzoptb",-9999,"0.00000","1000-01-01"
"24092020anzoptb",-9999,"0.00000","1000-01-01"
"24092020anzoptb",-9999,"0.00000","1000-01-01"
"24092020anzopta",-9999,"0.00000","1000-01-01"
"24092020anzoptb",-9999,"0.00000","1000-01-01"
"24092020anzoptb",-9999,"0.00000","1000-01-01"
"24092020anzoptb",-9999,"0.00000","1000-01-01"
"24092020anzoptb",-9999,"0.00000","1000-01-01"
"24092020anzoptb",-9999,"0.00000","1000-01-01"
"24092020anzopta",-9999,"0.00000","1000-01-01"
